EventId,EventName,EventCategoryId,EventCategoryName,StartDateTime,EndDateTime,ReservationId,BackgroundColor,TextColor,IsRegistered,SsoUrl,ImageUrl,MaxRegistrants,RegisteredCount,PriceInfo,RatingRestrictions,TagsInfo
1287090,Closed Courts,46821,Closed Courts,2025-07-01T07:00:00,2025-07-01T09:00:00,37452124,#707070,#f8eeee,False,REDACTED,,,,[],[],[]
1516644,Closed Courts,46821,Closed Courts,2025-07-01T07:00:00,2025-07-01T09:00:00,40294317,#707070,#f8eeee,False,REDACTED,,,,[],[],[]
1227480,All Levels Open Play,53028,All Levels w/ Challenge Court,2025-07-01T09:00:00,2025-07-01T11:00:00,33674336,#74d600,#000000,False,REDACTED,,36.0,,[],[],[]
1389680,3.0 - 3.5 Open Play,40472,Intermediate,2025-07-01T11:00:00,2025-07-01T13:00:00,37453987,#ffd3b6,#171717,False,REDACTED,,10.0,,[],[],[]
1389699,Advanced Beginner Open Play,40470,Advanced Beginner,2025-07-01T11:00:00,2025-07-01T13:00:00,37454469,#dcedc1,#000000,False,REDACTED,,6.0,,[],[],[]
1284997,Glenn's Private Group,48032,Private Event,2025-07-01T11:00:00,2025-07-01T13:00:00,37658246,#a51662,#ffffff,False,REDACTED,,14.0,,[],[],[]
1389720,3.0 - 3.5 Open Play,40472,Intermediate,2025-07-01T13:00:00,2025-07-01T15:00:00,37455077,#ffd3b6,#171717,False,REDACTED,,10.0,,[],[],[]
1389722,3.5 - 3.5+ Open Play,40471, High Intermediate,2025-07-01T13:00:00,2025-07-01T15:00:00,37455144,#d69cbc,#1a1919,False,REDACTED,,10.0,,[],[],[]
1389724,Advanced Beginner Open Play,40470,Advanced Beginner,2025-07-01T13:00:00,2025-07-01T15:00:00,37455222,#dcedc1,#000000,False,REDACTED,,6.0,,[],[],[]
1389648,All Levels Open Play,53028,All Levels w/ Challenge Court,2025-07-01T15:00:00,2025-07-01T17:00:00,37453247,#74d600,#000000,False,REDACTED,,24.0,,[],[],[]
1224311,Beginner Open Play (Unsupervised),61862,Beginner Open Play,2025-07-01T17:00:00,2025-07-01T18:00:00,33570347,#dcedc1,#000000,False,REDACTED,,8.0,,[],[],[]
1389726,3.75+ Open Play,47676,Low Advanced,2025-07-01T18:00:00,2025-07-01T20:00:00,37455317,#51074a,#ffffff,False,REDACTED,,6.0,,[],[],[]
1390736,3.5 - 3.5+ Open Play,40471, High Intermediate,2025-07-01T18:00:00,2025-07-01T20:00:00,37486433,#d69cbc,#1a1919,False,REDACTED,,10.0,,[],[],[]
1360317,Honcho League,40475,Leagues ,2025-07-01T18:00:00,2025-07-01T22:00:00,36794041,#11e2bb,#0f0f0f,False,REDACTED,,1.0,,[],[],[]
1390742,3.75+ Open Play,47676,Low Advanced,2025-07-01T20:00:00,2025-07-01T22:00:00,37486489,#51074a,#ffffff,False,REDACTED,,14.0,,[],[],[]
1390741,ALL LEVELS Open Play - $20 Flat - Free with Basic & Premium Memberships,53028,All Levels w/ Challenge Court,2025-07-01T22:00:00,2025-07-01T23:59:00,37486481,#74d600,#000000,False,REDACTED,,48.0,,[],[],[]
1287090,Closed Courts,46821,Closed Courts,2025-07-02T07:00:00,2025-07-02T09:00:00,37452125,#707070,#f8eeee,False,REDACTED,,,,[],[],[]
