Id,ReservationTypeId,ReservationTypeName,Courts,Instructors,IsLesson,StartTime,EndTime,CreatedOnUtc,UpdatedOnUtc,CancelledOn,Players,UserDefinedFields
36239124,52121,Private Lesson,Court #2,REDACTED,True,2025-06-02T11:00:00,2025-06-02T12:00:00,2025-05-28T18:05:05.237,2025-06-02T12:08:58.527,,REDACTED,[]
36264821,57948,Reserve Court: Singles,Court #1,REDACTED,False,2025-06-01T10:00:00,2025-06-01T11:00:00,2025-05-29T03:41:31.233,2025-06-01T07:10:09.253,,REDACTED,[]
36280472,57948,Reserve Court: Singles,Court #1,REDACTED,False,2025-06-03T20:00:00,2025-06-03T22:00:00,2025-05-29T15:07:27.733,2025-06-03T20:06:22.103,,REDACTED,[]
36380204,52120,Reserve Court: Doubles,Court #2,REDACTED,False,2025-06-04T11:00:00,2025-06-04T13:00:00,2025-05-31T15:04:54.307,,,REDACTED,[]
36399184,52120,Reserve Court: Doubles,Court #2,REDACTED,False,2025-06-01T10:00:00,2025-06-01T12:00:00,2025-05-31T22:07:11.947,2025-06-01T09:45:59.073,,REDACTED,[]
36403287,52120,Reserve Court: Doubles,"Court #1, Court #2",REDACTED,False,2025-06-01T08:00:00,2025-06-01T10:00:00,2025-06-01T00:46:14.003,2025-06-01T14:32:53.723,,REDACTED,[]
36404434,57948,Reserve Court: Singles,Court #1,REDACTED,False,2025-06-01T07:00:00,2025-06-01T08:00:00,2025-06-01T01:19:55.803,,,REDACTED,[]
36407945,52121,Private Lesson,Court #1,REDACTED,True,2025-06-02T15:00:00,2025-06-02T16:00:00,2025-06-01T09:22:12.993,,,REDACTED,[]
36423874,52120,Reserve Court: Doubles,Court #2,REDACTED,False,2025-06-03T20:00:00,2025-06-03T21:00:00,2025-06-01T17:04:59.347,,,REDACTED,[]
36443919,57948,Reserve Court: Singles,Court #5,REDACTED,False,2025-06-07T11:00:00,2025-06-07T12:00:00,2025-06-02T00:47:39.377,,,REDACTED,[]
36446852,52120,Reserve Court: Doubles,Court #1,REDACTED,False,2025-06-02T09:00:00,2025-06-02T11:00:00,2025-06-02T02:30:05.983,,,REDACTED,[]
36448849,52121,Private Lesson,Court #2,REDACTED,True,2025-06-02T12:00:00,2025-06-02T13:00:00,2025-06-02T03:35:14.963,,,REDACTED,[]
36457203,52120,Reserve Court: Doubles,Court #2,REDACTED,False,2025-06-02T16:30:00,2025-06-02T18:00:00,2025-06-02T13:19:54.533,2025-06-02T16:55:45.963,,REDACTED,[]
36457219,52120,Reserve Court: Doubles,Court #3,REDACTED,False,2025-06-03T19:00:00,2025-06-03T22:00:00,2025-06-02T13:20:20.063,,,REDACTED,[]
36488318,52122,Semi-Private,Court #2,REDACTED,True,2025-06-04T09:00:00,2025-06-04T10:00:00,2025-06-02T21:57:16.827,2025-06-03T13:03:41.74,,REDACTED,[]
36489478,57948,Reserve Court: Singles,Court #1,REDACTED,False,2025-06-03T16:30:00,2025-06-03T18:00:00,2025-06-02T22:25:55.607,,,REDACTED,[]
36492146,52120,Reserve Court: Doubles,Court #5,REDACTED,False,2025-06-02T20:00:00,2025-06-02T22:00:00,2025-06-02T23:34:16.083,,,REDACTED,[]
36522723,57948,Reserve Court: Singles,Court #3,REDACTED,False,2025-06-03T16:30:00,2025-06-03T17:30:00,2025-06-03T18:17:40.387,,,REDACTED,[]
36529880,52120,Reserve Court: Doubles,Court #5,REDACTED,False,2025-06-07T14:00:00,2025-06-07T15:00:00,2025-06-03T20:36:11.953,,,REDACTED,[]
36541959,57948,Reserve Court: Singles,Court #1,REDACTED,False,2025-06-09T20:00:00,2025-06-09T22:00:00,2025-06-04T01:38:07.797,2025-06-09T20:13:48.843,,REDACTED,[]
