Id,ReservationTypeId,ReservationTypeName,Courts,Instructors,IsLesson,StartTime,EndTime,CreatedOnUtc,UpdatedOnUtc,CancelledOn,Players,UserDefinedFields
38686597,52122,Semi-Private,,REDACTED,True,2025-07-26T16:00:00,2025-07-26T17:00:00,2025-07-25T12:04:22.183,2025-07-25T12:09:08.723,2025-07-25T12:09:08.723,REDACTED,[]
29136661,52123,Pro + 3,,REDACTED,True,2025-07-07T20:00:00,2025-07-07T22:00:00,2024-12-12T08:42:01.96,2024-12-16T20:10:38.53,2024-12-16T20:10:38.53,REDACTED,[]
29136662,52123,Pro + 3,,REDACTED,True,2025-07-14T20:00:00,2025-07-14T22:00:00,2024-12-12T08:42:01.993,2024-12-16T20:10:38.533,2024-12-16T20:10:38.533,REDACTED,[]
29136663,52123,Pro + 3,,REDACTED,True,2025-07-21T20:00:00,2025-07-21T22:00:00,2024-12-12T08:42:02.04,2024-12-16T20:10:38.537,2024-12-16T20:10:38.537,REDACTED,[]
29136664,52123,Pro + 3,,REDACTED,True,2025-07-28T20:00:00,2025-07-28T22:00:00,2024-12-12T08:42:02.07,2024-12-16T20:10:38.54,2024-12-16T20:10:38.54,REDACTED,[]
37618400,52120,Reserve Court: Doubles,,REDACTED,False,2025-07-01T19:00:00,2025-07-01T20:00:00,2025-06-29T21:35:46.35,2025-06-30T13:56:18.563,2025-06-30T13:56:18.563,REDACTED,[]
37630000,52120,Reserve Court: Doubles,,REDACTED,False,2025-07-01T20:00:00,2025-07-01T22:00:00,2025-06-30T05:29:56.097,2025-07-01T19:00:25.487,2025-07-01T19:00:25.487,REDACTED,[]
37645047,57948,Reserve Court: Singles,,REDACTED,False,2025-07-01T18:00:00,2025-07-01T20:00:00,2025-06-30T15:54:03.097,2025-07-01T18:14:15.95,2025-07-01T18:14:15.95,REDACTED,[]
37703065,57948,Reserve Court: Singles,,REDACTED,False,2025-07-07T20:00:00,2025-07-07T22:00:00,2025-07-01T20:41:50.243,2025-07-07T21:18:26.027,2025-07-07T21:18:26.027,REDACTED,[]
37709310,84484,Reserve Court: Three Person,,REDACTED,False,2025-07-08T18:00:00,2025-07-08T19:00:00,2025-07-01T23:22:24.407,2025-07-04T02:46:33.713,2025-07-04T02:46:33.713,REDACTED,[]
37764678,57948,Reserve Court: Singles,,REDACTED,False,2025-07-23T10:00:00,2025-07-23T23:59:00,2025-07-03T13:32:26.09,2025-07-03T13:32:57.303,2025-07-03T13:32:57.303,REDACTED,[]
37827965,52123,Pro + 3,,REDACTED,True,2025-07-06T13:00:00,2025-07-06T14:00:00,2025-07-05T04:57:51.047,2025-07-06T15:39:09.01,2025-07-06T15:39:09.01,REDACTED,[]
37851304,52120,Reserve Court: Doubles,,REDACTED,False,2025-07-06T08:00:00,2025-07-06T09:00:00,2025-07-05T22:46:25.533,2025-07-06T00:04:09.59,2025-07-06T00:04:09.59,REDACTED,[]
37851620,52120,Reserve Court: Doubles,,REDACTED,False,2025-07-06T09:00:00,2025-07-06T10:00:00,2025-07-05T22:59:27.74,2025-07-06T00:03:57.913,2025-07-06T00:03:57.913,REDACTED,[]
37880634,52122,Semi-Private,,REDACTED,True,2025-07-06T17:00:00,2025-07-06T18:00:00,2025-07-06T21:01:02.237,2025-07-07T23:14:10.11,2025-07-07T23:14:10.11,REDACTED,[]
37910489,57948,Reserve Court: Singles,,REDACTED,False,2025-07-09T12:30:00,2025-07-09T13:30:00,2025-07-07T17:10:21.123,2025-07-07T17:14:53.727,2025-07-07T17:14:53.727,REDACTED,[]
38000118,52120,Reserve Court: Doubles,,REDACTED,False,2025-07-12T10:00:00,2025-07-12T11:00:00,2025-07-09T19:25:47.837,2025-07-11T01:08:53.623,2025-07-11T01:08:53.623,REDACTED,[]
38001995,52120,Reserve Court: Doubles,,REDACTED,False,2025-07-09T21:00:00,2025-07-09T22:00:00,2025-07-09T19:57:56.63,2025-07-09T20:04:42.593,2025-07-09T20:04:42.593,REDACTED,[]
38100937,57948,Reserve Court: Singles,,REDACTED,False,2025-07-12T14:30:00,2025-07-12T16:30:00,2025-07-11T23:35:06.25,2025-07-12T18:26:16.903,2025-07-12T18:26:16.903,REDACTED,[]
38104926,84484,Reserve Court: Three Person,,REDACTED,False,2025-07-12T10:00:00,2025-07-12T11:00:00,2025-07-12T02:46:46.64,2025-07-12T13:51:01.687,2025-07-12T13:51:01.687,REDACTED,[]
38139550,52120,Reserve Court: Doubles,,REDACTED,False,2025-07-20T07:00:00,2025-07-20T09:00:00,2025-07-13T13:09:49.9,2025-07-13T20:23:37.037,2025-07-13T20:23:37.037,REDACTED,[]
38261999,84484,Reserve Court: Three Person,,REDACTED,False,2025-07-18T07:00:00,2025-07-18T08:00:00,2025-07-16T02:36:47.33,2025-07-16T02:36:54.27,2025-07-16T02:36:54.27,REDACTED,[]
38300274,52120,Reserve Court: Doubles,,REDACTED,False,2025-07-20T07:00:00,2025-07-20T09:00:00,2025-07-16T21:28:05.74,2025-07-17T02:05:14.873,2025-07-17T02:05:14.873,REDACTED,[]
38302352,57948,Reserve Court: Singles,,REDACTED,False,2025-07-17T20:00:00,2025-07-17T22:00:00,2025-07-16T22:24:20.21,2025-07-17T19:38:16.363,2025-07-17T19:38:16.363,REDACTED,[]
38308675,52120,Reserve Court: Doubles,,REDACTED,False,2025-07-20T09:00:00,2025-07-20T10:00:00,2025-07-17T02:04:00.487,2025-07-17T02:04:19.753,2025-07-17T02:04:19.753,REDACTED,[]
38400996,57948,Reserve Court: Singles,,REDACTED,False,2025-07-20T15:00:00,2025-07-20T16:00:00,2025-07-19T02:22:15.64,2025-07-20T15:21:59.517,2025-07-20T15:21:59.517,REDACTED,[]
38441877,52120,Reserve Court: Doubles,,REDACTED,False,2025-07-21T20:00:00,2025-07-21T22:00:00,2025-07-20T14:56:33.283,2025-07-21T19:24:33.05,2025-07-21T19:24:33.05,REDACTED,[]
38444359,52120,Reserve Court: Doubles,,REDACTED,False,2025-07-27T09:00:00,2025-07-27T11:00:00,2025-07-20T15:46:01.213,2025-07-24T03:12:28.723,2025-07-24T03:12:28.723,REDACTED,[]
38444396,52120,Reserve Court: Doubles,,REDACTED,False,2025-07-27T07:00:00,2025-07-27T09:00:00,2025-07-20T15:47:16.22,2025-07-22T15:47:54.14,2025-07-22T15:47:54.14,REDACTED,[]
38494468,84484,Reserve Court: Three Person,,REDACTED,False,2025-07-23T20:00:00,2025-07-23T21:00:00,2025-07-21T17:29:36.543,2025-07-21T17:29:42.987,2025-07-21T17:29:42.987,REDACTED,[]
38494648,84484,Reserve Court: Three Person,,REDACTED,False,2025-07-23T20:00:00,2025-07-23T22:00:00,2025-07-21T17:31:04.423,2025-07-21T23:23:48.23,2025-07-21T23:23:48.23,REDACTED,[]
38519835,52122,Semi-Private,,REDACTED,True,2025-07-27T10:00:00,2025-07-27T11:00:00,2025-07-22T00:03:10.58,2025-07-27T09:47:44.45,2025-07-27T09:47:44.45,REDACTED,[]
38519946,57948,Reserve Court: Singles,,REDACTED,False,2025-07-27T11:00:00,2025-07-27T12:00:00,2025-07-22T00:07:02.18,2025-07-27T03:10:28.16,2025-07-27T03:10:28.16,REDACTED,[]
38546138,52120,Reserve Court: Doubles,,REDACTED,False,2025-07-27T07:00:00,2025-07-27T09:00:00,2025-07-22T15:48:33.233,2025-07-25T07:03:09.45,2025-07-25T07:03:09.45,REDACTED,[]
38566858,52120,Reserve Court: Doubles,,REDACTED,False,2025-07-27T08:00:00,2025-07-27T09:00:00,2025-07-22T20:51:27.72,2025-07-24T13:55:26.27,2025-07-24T13:55:26.27,REDACTED,[]
38686737,52121,Private Lesson,,REDACTED,True,2025-07-26T17:00:00,2025-07-26T18:00:00,2025-07-25T12:08:36.397,2025-07-25T13:56:25.863,2025-07-25T13:56:25.863,REDACTED,[]
38709051,57948,Reserve Court: Singles,,REDACTED,False,2025-07-28T18:00:00,2025-07-28T20:00:00,2025-07-25T19:29:07.707,2025-07-27T20:05:36.41,2025-07-27T20:05:36.41,REDACTED,[]
38801422,57948,Reserve Court: Singles,,REDACTED,False,2025-07-28T16:00:00,2025-07-28T18:00:00,2025-07-27T18:48:49.66,2025-07-28T18:22:05.153,2025-07-28T18:22:05.153,REDACTED,[]
