OrganizationMemberId,MemberFirstName,MemberLastName,MemberEmail,StartDateTime,EndDateTime,CreatedOnUtc,IsCancelled,IsApproved,CancelledOnUtc,ReservationMemberId,CourtData,BookingType,EventName,TypeName,ReservationId
4432423,REDACTED,REDACTED,REDACTED,2025-06-01T07:00:00,2025-06-01T08:00:00,2025-06-01T01:19:56.297,False,True,,71666745,[],CourtReservation,,Reserve Court: Singles,36404434
4331097,REDACTED,REDACTED,REDACTED,2025-06-01T07:00:00,2025-06-01T08:00:00,2025-06-01T01:19:56.313,False,True,,71666746,[],CourtReservation,,Reserve Court: Singles,36404434
4390980,REDACTED,REDACTED,REDACTED,2025-06-01T08:00:00,2025-06-01T10:00:00,2025-06-01T12:47:54.947,False,True,,71685332,[],CourtReservation,,Reserve Court: Doubles,36403287
4070162,REDACTED,REDACTED,REDACTED,2025-06-01T08:00:00,2025-06-01T10:00:00,2025-06-01T12:47:54.947,False,True,,71685329,[],CourtReservation,,Reserve Court: Doubles,36403287
4331097,REDACTED,REDACTED,REDACTED,2025-06-01T08:00:00,2025-06-01T10:00:00,2025-06-01T12:47:54.947,False,True,,71685331,[],CourtReservation,,Reserve Court: Doubles,36403287
4313632,REDACTED,REDACTED,REDACTED,2025-06-01T08:00:00,2025-06-01T10:00:00,2025-06-01T12:47:54.947,False,True,,71685327,[],CourtReservation,,Reserve Court: Doubles,36403287
3633785,REDACTED,REDACTED,REDACTED,2025-06-01T08:00:00,2025-06-01T10:00:00,2025-06-01T12:47:54.947,False,True,,71685326,[],CourtReservation,,Reserve Court: Doubles,36403287
4249747,REDACTED,REDACTED,REDACTED,2025-06-01T08:00:00,2025-06-01T10:00:00,2025-06-01T12:47:54.947,False,True,,71685328,[],CourtReservation,,Reserve Court: Doubles,36403287
4432423,REDACTED,REDACTED,REDACTED,2025-06-01T08:00:00,2025-06-01T10:00:00,2025-06-01T12:47:54.947,False,True,,71685330,[],CourtReservation,,Reserve Court: Doubles,36403287
4130360,REDACTED,REDACTED,REDACTED,2025-06-01T08:00:00,2025-06-01T10:00:00,2025-06-01T00:46:13.997,False,True,,71664569,[],CourtReservation,,Reserve Court: Doubles,36403287
6128265,REDACTED,REDACTED,REDACTED,2025-06-01T09:00:00,2025-06-01T11:00:00,2025-06-01T13:15:17.15,False,True,,71687700,"[{'CourtId': 39573, 'CourtName': 'Court #4', 'CourtTypeName': 'Pickleball'}]",Event,3.75+ Open Play,Low Advanced,36136650
3653779,REDACTED,REDACTED,REDACTED,2025-06-01T09:00:00,2025-06-01T11:00:00,2025-05-31T22:08:34.607,False,True,,71654690,"[{'CourtId': 39573, 'CourtName': 'Court #4', 'CourtTypeName': 'Pickleball'}]",Event,3.75+ Open Play,Low Advanced,36136650
4155765,REDACTED,REDACTED,REDACTED,2025-06-01T09:00:00,2025-06-01T11:00:00,2025-05-31T00:10:51.22,False,True,,71582297,"[{'CourtId': 39573, 'CourtName': 'Court #4', 'CourtTypeName': 'Pickleball'}]",Event,3.75+ Open Play,Low Advanced,36136650
5491946,REDACTED,REDACTED,REDACTED,2025-06-01T09:00:00,2025-06-01T11:00:00,2025-05-31T22:17:20.7,False,True,,71655226,"[{'CourtId': 39573, 'CourtName': 'Court #4', 'CourtTypeName': 'Pickleball'}]",Event,3.75+ Open Play,Low Advanced,36136650
5540395,REDACTED,REDACTED,REDACTED,2025-06-01T09:00:00,2025-06-01T11:00:00,2025-06-01T12:53:18.473,False,True,,71685722,"[{'CourtId': 39573, 'CourtName': 'Court #4', 'CourtTypeName': 'Pickleball'}]",Event,3.75+ Open Play,Low Advanced,36136650
6217940,REDACTED,REDACTED,REDACTED,2025-06-01T09:00:00,2025-06-01T11:00:00,2025-05-31T13:33:23.173,False,True,,71610478,"[{'CourtId': 39573, 'CourtName': 'Court #4', 'CourtTypeName': 'Pickleball'}]",Event,3.75+ Open Play,Low Advanced,36136650
6739069,REDACTED,REDACTED,REDACTED,2025-06-01T09:00:00,2025-06-01T11:00:00,2025-06-01T13:11:12.657,False,True,,71687434,"[{'CourtId': 39576, 'CourtName': 'Court #7', 'CourtTypeName': 'Pickleball'}, {'CourtId': 39577, 'CourtName': 'Court #8', 'CourtTypeName': 'Pickleball'}]",Event,Contract Time - Gaurav's Group,Contract Time,30370258
