FeeCategoryName,ItemName,RevenueCategoryName,Amount,AmountWithNoTax,TaxTotal,OrgMemberId,OrgMemberFamilyId,MembershipName,Start,End,CourtLabels,PaymentType,TransactionType,TransactionId,TransactionDate,PaidDate,ItemCost
Reservation,Reserve Court: Doubles,Court Fees (6002),40.0,40.0,0.0,4343109,1466464.0,DROP IN (FREE Membership - $10 When You Come),2024-03-12T18:00:00,2024-03-12T19:00:00,Court #6,Credit Card,Fee,27151474,2024-03-12T17:45:45.727,2024-11-06T15:15:22.203,
Event Registration, High Intermediate - King/Queen of the Court (3.5+),Organized Play Fees (6004),12.0,12.0,0.0,4391321,,DROP IN (FREE Membership - $10 When You Come),2024-03-24T09:00:00,2024-03-24T11:00:00,"Court #1, Court #2, Court #3, Court #4, Court #5, Court #6",Credit Card,Fee,27840776,2024-03-23T15:10:00.93,2024-11-15T18:21:55.933,
Event Registration,Freeform Open Play - Freeform Advanced (4.0+),Organized Play Fees (6004),12.0,12.0,0.0,4391321,,DROP IN (FREE Membership - $10 When You Come),2024-03-25T21:00:00,2024-03-25T23:59:00,"Court #2, Court #3, Court #4",Credit Card,Fee,27963666,2024-03-25T15:50:41.787,2024-11-15T18:21:55.933,
Event Registration,Freeform Open Play - Freeform High Intermediate (3.5+),Organized Play Fees (6004),12.0,12.0,0.0,4391321,,DROP IN (FREE Membership - $10 When You Come),2024-03-26T21:00:00,2024-03-26T23:59:00,"Court #1, Court #2, Court #3, Court #4",Credit Card,Fee,28039365,2024-03-26T17:39:21.28,2024-11-15T18:21:55.933,
Event Registration,Freeform Open Play - Freeform High Intermediate (3.5+),Organized Play Fees (6004),12.0,12.0,0.0,4391321,,DROP IN (FREE Membership - $10 When You Come),2024-03-27T21:00:00,2024-03-27T23:59:00,"Court #1, Court #2, Court #3, Court #4",Credit Card,Fee,28084621,2024-03-27T12:33:24.987,2024-11-15T18:21:55.933,
Event Registration,Low Advanced - Open Play Low Advanced 3.75+,Organized Play Fees (6004),27.0,27.0,0.0,4447833,,,2024-04-03T19:00:00,2024-04-03T21:00:00,"Court #2, Court #3",Credit Card,Fee,28600571,2024-04-03T18:38:33.2,2024-11-04T19:10:20.29,
Event Registration, High Intermediate - King/Queen of the Court High Intermediate 3.5+,Organized Play Fees (6004),17.0,17.0,0.0,4391321,,DROP IN (FREE Membership - $10 When You Come),2024-04-06T09:00:00,2024-04-06T11:00:00,"Court #1, Court #2, Court #3, Court #4, Court #5, Court #6, Court #7",Credit Card,Fee,28705237,2024-04-05T11:39:57.243,2024-11-15T18:21:55.933,
Event Registration, High Intermediate - Open Play High Intermediate 3.5+,Organized Play Fees (6004),27.0,27.0,0.0,4391321,,DROP IN (FREE Membership - $10 When You Come),2024-04-08T19:00:00,2024-04-08T21:00:00,"Court #3, Court #4",Credit Card,Fee,28884781,2024-04-08T14:17:36.023,2024-11-15T18:21:55.933,
Event Registration, High Intermediate - Winners Move Up and Split losers move down and split. (rally scoring) Open Play 3.5,Organized Play Fees (6004),27.0,27.0,0.0,4391321,,DROP IN (FREE Membership - $10 When You Come),2024-04-09T19:00:00,2024-04-09T21:00:00,"Court #5, Court #6",Credit Card,Fee,28938676,2024-04-09T12:26:00.143,2024-11-15T18:21:55.933,
Event Registration,Reserve Court (Deleted) - 3.75+ Invitational Group,Court Fees (6002),20.0,20.0,0.0,4447833,,,2024-04-12T19:00:00,2024-04-12T23:59:00,"Court #1, Court #2, Court #3, Court #4, Court #5, Court #6, Court #7, Court #8",Credit Card,Fee,29004116,2024-04-10T13:07:15.453,2024-11-04T19:10:09.163,
Event Registration, High Intermediate - Open Play High Intermediate 3.5+,Organized Play Fees (6004),22.0,22.0,0.0,4391321,,DROP IN (FREE Membership - $10 When You Come),2024-04-11T19:30:00,2024-04-11T21:00:00,"Court #5, Court #6",Credit Card,Fee,29078231,2024-04-11T16:19:03.217,2024-11-15T18:21:55.933,
Event Registration,Fundamentals of Pickleball - Intro To Pickleball,Organized Play Fees (6004),10.0,10.0,0.0,4534790,,DROP IN (FREE Membership - $10 When You Come),2024-04-21T13:00:00,2024-04-21T14:00:00,"Court #4, Court #5",Credit Card,Fee,29637424,2024-04-21T12:53:37.127,2024-11-15T12:31:51.143,
Reservation,Reserve Court: Doubles,Court Fees (6002),8.0,8.0,0.0,4671023,,DROP IN (FREE Membership - $10 When You Come),2024-05-18T14:00:00,2024-05-18T15:00:00,Court #6,Credit Card,Fee,31177768,2024-05-18T13:16:33.597,2024-11-15T17:56:12.173,
Event Registration,Adult Social: Advanced Beginner (Deleted) - Ladies Night Advanced Beginner,,12.0,12.0,0.0,4476995,,Sweet & Sour,2024-06-06T18:00:00,2024-06-06T20:00:00,"Court #3, Court #4",Credit Card,Fee,32013139,2024-06-03T09:52:09.713,2024-11-04T20:24:46.083,
Reservation,Reserve Court: Doubles,Court Fees (6002),28.0,28.0,0.0,3633785,1983047.0,Basic - Founders w/ Payment,2024-06-05T16:00:00,2024-06-05T18:00:00,Court #8,Credit Card,Fee,32084334,2024-06-04T12:10:28.613,2024-11-04T16:34:34.093,
Event Registration,Advanced Beginner - Open Play Advanced Beginner,Organized Play Fees (6004),12.0,12.0,0.0,4476995,,Sweet & Sour,2024-06-11T16:00:00,2024-06-11T18:00:00,"Court #4, Court #5, Court #6",Credit Card,Fee,32240401,2024-06-07T08:26:48.557,2024-11-04T20:24:22.597,
Event Registration,Low Advanced - 3.75 Open Play,Organized Play Fees (6004),12.0,12.0,0.0,3633785,1983047.0,Basic - Founders w/ Payment,2024-06-16T07:00:00,2024-06-16T09:00:00,"Court #1, Court #2, Court #3, Court #4",Credit Card,Fee,32686913,2024-06-15T16:40:06.11,2024-11-04T16:34:34.093,
Event Registration,Low Advanced - 3.75 Open Play,Organized Play Fees (6004),12.0,12.0,0.0,3633785,1983047.0,Basic - Founders w/ Payment,2024-06-22T07:00:00,2024-06-22T09:00:00,"Court #1, Court #2, Court #3, Court #4, Court #5",Credit Card,Fee,33028997,2024-06-22T06:18:51.77,2024-11-04T16:34:34.093,
Event Registration,Advanced Beginner - Advanced Beginner Open Play,Organized Play Fees (6004),27.0,27.0,0.0,5157407,,DROP IN (FREE Membership - $10 When You Come),2024-08-04T13:00:00,2024-08-04T15:00:00,"Court #5, Court #6, Court #7, Court #8",Credit Card,Fee,35549647,2024-08-04T10:59:22.92,2024-11-04T19:50:32.61,
Event Registration,3.75-4.25+ COMBINED OPEN PLAY - King of The Court,Organized Play Fees (6004),17.0,17.0,0.0,3633785,1983047.0,Basic - Founders w/ Payment,2024-08-07T07:00:00,2024-08-07T09:00:00,"Court #1, Court #2, Court #3, Court #4, Court #5",Credit Card,Fee,35709940,2024-08-06T16:29:14.57,2024-11-04T16:34:34.093,
Event Registration,Advanced - 4.25+ Invitational Group,Organized Play Fees (6004),30.0,30.0,0.0,4397410,,DROP IN (FREE Membership - $10 When You Come),2024-08-06T20:00:00,2024-08-06T23:59:00,"Court #7, Court #8",Credit Card,Fee,35715445,2024-08-06T17:53:00.53,2024-11-15T12:30:37.997,
Event Registration,Cross Club Events - Cross Club Scrimmage 4.0-4.5 ,Court Fees (6002),24.0,24.0,0.0,5208667,,DROP IN (FREE Membership - $10 When You Come),2024-08-10T10:00:00,2024-08-10T13:00:00,"Court #1, Court #2, Court #3, Court #4",Credit Card,Fee,35940088,2024-08-10T09:28:48.787,2024-11-15T16:56:24.557,
Event Registration,Cross Club Events - Cross Club Scrimmage 4.0-4.5 ,Court Fees (6002),28.0,28.0,0.0,4397410,,DROP IN (FREE Membership - $10 When You Come),2024-08-10T10:00:00,2024-08-10T13:00:00,"Court #1, Court #2, Court #3, Court #4",Credit Card,Fee,35941384,2024-08-10T09:51:41.95,2024-11-15T12:30:37.997,
Event Registration, High Intermediate - Open Play High Intermediate 3.5,Organized Play Fees (6004),17.0,17.0,0.0,3633733,,Basic - Founders w/ Payment,2024-08-15T18:00:00,2024-08-15T20:00:00,"Court #1, Court #3, Court #4, Court #5, Court #6",Credit Card,Fee,36275746,2024-08-15T20:12:02.583,2024-11-04T18:24:32.497,
Reservation,Reserve Court: Singles,Court Fees (6002),80.0,80.0,0.0,5246694,,DROP IN (FREE Membership - $10 When You Come),2024-08-16T21:30:00,2024-08-16T22:30:00,Court #4,Credit Card,Fee,36339491,2024-08-16T21:07:56.133,2024-11-04T18:03:57.653,
Event Registration,Advanced - 4.25+ Invitational Group,Organized Play Fees (6004),20.0,20.0,0.0,3633785,1983047.0,Basic - Founders w/ Payment,2024-08-20T20:00:00,2024-08-20T23:59:00,"Court #4, Court #5, Court #6, Court #7, Court #8",Credit Card,Fee,36569218,2024-08-20T15:04:59.03,2024-11-04T16:34:34.093,
Event Registration,Cross Club Practice - 4.5-5.4 Cross Club Closed Team Practice (Team Members Only Click into other event if not on the team this is not a 4.25+ event),Organized Play Fees (6004),20.0,20.0,0.0,4651826,,DROP IN (FREE Membership - $10 When You Come),2024-08-23T19:00:00,2024-08-23T23:59:00,"Court #5, Court #6, Court #7, Court #8",Credit Card,Fee,36768522,2024-08-23T19:03:05.153,2024-11-04T19:08:43.413,
Event Registration,Low Advanced - Open Play Low Advanced 3.75+,Organized Play Fees (6004),10.0,10.0,0.0,3633733,,Basic - Founders w/ Payment,2024-09-03T18:00:00,2024-09-03T20:00:00,"Court #7, Court #8",Credit Card,Fee,37055355,2024-08-28T15:54:18.9,2024-11-04T18:24:48.81,
Event Registration,Cross Club Events - (4.0-4.5) Cross Club League Match Pickle Jar V Monroe,Court Fees (6002),28.0,28.0,0.0,4397410,,DROP IN (FREE Membership - $10 When You Come),2024-08-29T19:00:00,2024-08-29T22:00:00,"Court #1, Court #2, Court #3, Court #4",Credit Card,Fee,37127807,2024-08-29T18:28:27.01,2024-11-15T12:30:37.997,
Reservation,Reserve Court: Doubles,Court Fees (6002),16.0,16.0,0.0,3633785,1983047.0,Basic - Founders w/ Payment,2024-08-31T11:00:00,2024-08-31T13:00:00,Court #5,Credit Card,Fee,37222781,2024-08-31T08:50:40.72,2024-11-04T16:34:34.093,
Reservation,Reserve Court: Doubles,Court Fees (6002),10.0,10.0,0.0,3733679,,The Founders,2024-09-01T19:00:00,2024-09-01T21:00:00,Court #4,Credit Card,Fee,37311048,2024-09-01T16:38:23.25,2024-11-17T21:05:32.987,
Event Registration, High Intermediate - Winners Move Up and Split losers move down and split. (rally scoring) Open Play 3.5,Organized Play Fees (6004),17.0,17.0,0.0,4243042,,Dill-uxe ($378 + Tax Includes 1 Guest Per Month),2024-09-10T18:00:00,2024-09-10T20:00:00,"Court #1, Court #2, Court #3, Court #4, Court #5",Credit Card,Fee,37533289,2024-09-05T08:01:34.577,2024-11-04T18:42:56.33,
Event Registration,Low Advanced - Open Play Low Advanced 3.75+,Organized Play Fees (6004),17.0,17.0,0.0,3633733,,Basic - Founders w/ Payment,2024-09-09T18:00:00,2024-09-09T20:00:00,"Court #3, Court #4, Court #5",Credit Card,Fee,37761598,2024-09-09T09:07:08.643,2024-11-04T18:25:01.58,
Event Registration, High Intermediate - Winners Move Up and Split losers move down and split. (rally scoring) Open Play 3.5,Organized Play Fees (6004),17.0,17.0,0.0,4243042,,Dill-uxe ($378 + Tax Includes 1 Guest Per Month),2024-09-17T18:00:00,2024-09-17T20:00:00,"Court #1, Court #2, Court #3, Court #4, Court #5, Court #6",Credit Card,Fee,37802665,2024-09-09T18:03:56.117,2024-11-04T18:43:08.89,
