TransactionId,TransactionType,TransactionDate,Subtotal,TaxTotal,Total,UnpaidAmount,PainOn,PaymentType,Category,ReservationStart,ReservationEnd,Instructors,OrganizationMemberId,OrganizationFirstName,OrganizationLastName,OrganizationMemberEmail,OrganizationMemberPhone,AccountCreationDate
50353985,Fee,2025-02-05T11:30:07.813,160.0,0.0,160.0,0.0,2025-07-08T09:12:51.85,Credit Card,Kids Summer Camp - Summer Kids Clinics - Ages 8-12,2025-07-07T09:00:00,2025-07-07T14:00:00,REDACTED,5887442.0,REDACTED,REDACTED,REDACTED,REDACTED,2024-11-26T11:13:31.413
58808635,Fee,2025-04-28T19:42:54.723,160.0,0.0,160.0,0.0,2025-07-08T12:57:11.683,Credit Card,Kids Summer Camp - Summer Kids Clinics - Ages 8-12,2025-07-07T09:00:00,2025-07-07T14:00:00,REDACTED,7143363.0,REDACTED,REDACTED,REDACTED,REDACTED,2025-04-28T19:39:42.977
58808644,Fee,2025-04-28T19:42:59.923,160.0,0.0,160.0,0.0,2025-07-08T12:57:52.147,Credit Card,Kids Summer Camp - Summer Kids Clinics - Ages 8-12,2025-07-07T09:00:00,2025-07-07T14:00:00,REDACTED,7143369.0,REDACTED,REDACTED,REDACTED,REDACTED,2025-04-28T19:40:19.68
63322920,Fee,2025-06-19T18:52:46.567,20.0,0.0,20.0,0.0,2025-07-09T18:25:06.757,Credit Card,Cross Club Events - Cross Club 3.5-4.0 Tryout,2025-07-09T19:00:00,2025-07-09T21:00:00,REDACTED,4571450.0,REDACTED,REDACTED,REDACTED,REDACTED,2024-04-29T08:09:44.607
63405440,Fee,2025-06-20T18:24:17.433,20.0,0.0,20.0,0.0,2025-07-02T19:53:04.067,Credit Card,Cross Club Events - Cross Club 3.5-4.0 Tryout,2025-07-02T20:00:00,2025-07-02T22:00:00,REDACTED,5195510.0,REDACTED,REDACTED,REDACTED,REDACTED,2024-08-08T13:05:18.377
63405647,Fee,2025-06-20T18:26:33.89,20.0,0.0,20.0,0.0,2025-07-03T22:16:21.87,Credit Card,Cross Club Events - Cross Club 4.0-4.5 Tryout,2025-07-03T19:00:00,2025-07-03T21:00:00,REDACTED,5195510.0,REDACTED,REDACTED,REDACTED,REDACTED,2024-08-08T13:05:18.377
63414723,Fee,2025-06-20T20:25:24.087,20.0,0.0,20.0,0.0,2025-07-13T10:17:53.85,Credit Card,Cross Club Events - Cross Club (50+) 3.5-4.0 Tryout,2025-07-13T09:00:00,2025-07-13T11:00:00,REDACTED,3707788.0,REDACTED,REDACTED,REDACTED,REDACTED,2023-11-03T13:58:42.227
63435304,Fee,2025-06-21T08:30:58.397,100.0,0.0,100.0,0.0,2025-07-03T11:51:12.973,Credit Card,Private Lesson,2025-07-03T12:00:00,2025-07-03T13:00:00,REDACTED,3892544.0,REDACTED,REDACTED,REDACTED,REDACTED,2023-12-20T18:07:05.493
63530183,Fee,2025-06-22T13:48:47.97,5.0,0.0,5.0,0.0,2025-07-09T18:55:50.127,Credit Card,Cross Club Events - Cross Club 3.5-4.0 Tryout,2025-07-09T19:00:00,2025-07-09T21:00:00,REDACTED,4971642.0,REDACTED,REDACTED,REDACTED,REDACTED,2024-07-03T16:02:11.447
63680845,Fee,2025-06-24T07:40:31.403,100.0,0.0,100.0,0.0,2025-07-03T12:52:13.887,Credit Card,Private Lesson,2025-07-03T13:00:00,2025-07-03T14:00:00,REDACTED,5174644.0,REDACTED,REDACTED,REDACTED,REDACTED,2024-08-07T14:20:10.057
63823493,Fee,2025-06-25T17:05:28.2,20.0,0.0,20.0,0.0,2025-07-26T21:34:13.12,Credit Card,Cross Club Events - Cross Club 3.5-4.0 Tryout,2025-07-02T20:00:00,2025-07-02T22:00:00,REDACTED,7575234.0,REDACTED,REDACTED,REDACTED,REDACTED,2025-06-25T17:02:23.133
65996826,Payment,2025-07-20T10:21:33.333,5.0,0.0,-5.0,0.0,2025-07-20T10:21:33.333,Credit Card,Reserve Court: Singles,2025-07-20T09:00:00,2025-07-20T10:00:00,REDACTED,3948552.0,REDACTED,REDACTED,REDACTED,REDACTED,2023-12-31T16:57:25.93
65996847,Payment,2025-07-20T10:21:45.66,5.0,0.0,-5.0,0.0,2025-07-20T10:21:45.66,Credit Card,Reserve Court: Doubles,2025-07-20T08:00:00,2025-07-20T10:00:00,REDACTED,4294083.0,REDACTED,REDACTED,REDACTED,REDACTED,2024-03-02T23:38:50.177
65996876,Payment,2025-07-20T10:22:20.397,5.0,0.0,-5.0,0.0,2025-07-20T10:22:20.397,Credit Card,Reserve Court: Doubles,2025-07-20T08:00:00,2025-07-20T10:00:00,REDACTED,4294115.0,REDACTED,REDACTED,REDACTED,REDACTED,2024-03-03T00:12:15.517
65996880,Payment,2025-07-20T10:22:26.373,5.0,0.0,-5.0,0.0,2025-07-20T10:22:26.373,Credit Card,Reserve Court: Doubles,2025-07-20T08:00:00,2025-07-20T10:00:00,REDACTED,4294277.0,REDACTED,REDACTED,REDACTED,REDACTED,2024-03-03T06:46:00.633
