TransactionId,TransactionType,TransactionDate,Subtotal,TaxTotal,Total,UnpaidAmount,PainOn,PaymentType,Category,ReservationStart,ReservationEnd,Instructors,OrganizationMemberId,OrganizationFirstName,OrganizationLastName,OrganizationMemberEmail,OrganizationMemberPhone,AccountCreationDate
61694956,Fee,2025-06-01T00:13:23.127,20.0,0.0,20.0,0.0,2025-06-01T14:45:18.763,Credit Card,All Levels w/ Challenge Court - ALL LEVELS Open Play - $20 Flat - Free with Basic & Premium Memberships,2025-06-01T15:00:00,2025-06-01T18:00:00,REDACTED,5863230,REDACTED,REDACTED,REDACTED,REDACTED,2024-11-22T15:42:05.107
61694957,Fee,2025-06-01T00:13:23.293,20.0,0.0,20.0,0.0,2025-06-01T14:46:32.693,Credit Card,All Levels w/ Challenge Court - ALL LEVELS Open Play - $20 Flat - Free with Basic & Premium Memberships,2025-06-01T15:00:00,2025-06-01T18:00:00,REDACTED,5507327,REDACTED,REDACTED,REDACTED,REDACTED,2024-09-30T14:56:09.07
61697673,Fee,2025-06-01T01:31:39.963,10.0,0.66,10.66,0.0,2025-06-19T17:50:16.023,Credit Card,Recurring Fee - Paddle Demo Program,2025-06-03T00:00:00,2025-07-02T00:00:00,REDACTED,6943308,REDACTED,REDACTED,REDACTED,REDACTED,2025-04-02T22:42:05.59
61700089,Membership Fee,2025-06-01T03:53:25.77,25.0,1.66,26.66,0.0,2025-06-05T04:34:29.823,Credit Card,Membership Dues,2025-06-06T01:00:00,2025-07-05T02:00:00,REDACTED,5738165,REDACTED,REDACTED,REDACTED,REDACTED,2024-11-02T17:39:00.467
61700091,Membership Fee,2025-06-01T03:53:26.77,25.0,1.66,26.66,0.0,2025-06-06T04:30:07.973,Credit Card,Membership Dues,2025-06-06T01:00:00,2025-07-05T02:00:00,REDACTED,5738180,REDACTED,REDACTED,REDACTED,REDACTED,2024-11-02T17:43:44.493
61704354,Fee,2025-06-01T05:02:58.46,5.0,0.0,5.0,0.0,2025-06-02T17:52:36.317,Credit Card,Intermediate - 3.0 - 3.5 Open Play,2025-06-02T18:00:00,2025-06-02T20:00:00,REDACTED,5506132,REDACTED,REDACTED,REDACTED,REDACTED,2024-09-30T10:54:53.237
61705378,Payment,2025-06-01T05:22:20.34,100.0,0.0,-100.0,0.0,2025-06-01T05:22:20.34,Credit Card,Private Lesson,2025-06-02T15:00:00,2025-06-02T16:00:00,REDACTED,5174644,REDACTED,REDACTED,REDACTED,REDACTED,2024-08-07T14:20:10.057
61705379,Fee,2025-06-01T05:22:13.54,100.0,0.0,100.0,0.0,2025-06-01T05:22:20.34,Credit Card,Private Lesson,2025-06-02T15:00:00,2025-06-02T16:00:00,REDACTED,5174644,REDACTED,REDACTED,REDACTED,REDACTED,2024-08-07T14:20:10.057
61706976,Payment,2025-06-01T05:56:04.64,26.66,0.0,-26.66,0.0,2025-06-01T05:56:04.64,Credit Card,Membership Dues,2025-06-01T14:34:02.627,2025-06-30T15:34:02.627,REDACTED,4224908,REDACTED,REDACTED,REDACTED,REDACTED,2024-02-18T19:50:05.877
61706979,Payment,2025-06-01T05:56:08.423,26.66,0.0,-26.66,0.0,2025-06-01T05:56:08.423,Credit Card,Membership Dues,2025-06-02T01:00:00,2025-07-01T02:00:00,REDACTED,5887270,REDACTED,REDACTED,REDACTED,REDACTED,2024-11-26T10:48:19.347
