TransactionId,TransactionType,TransactionDate,Subtotal,TaxTotal,Total,UnpaidAmount,PainOn,PaymentType,Category,ReservationStart,ReservationEnd,OrganizationMemberId,AccountCreationDate
34911904,Fee,2024-07-25T10:27:51.613,35.0,0.0,35.0,0.0,2024-07-29T18:25:14.653,Credit Card,Cross Club Events - Cross Club 3.5-4.0 Final Tryout,2025-01-29T19:00:00,2025-01-29T21:00:00,4676393.0,2024-05-19T15:49:58.537
34990804,Fee,2024-07-26T13:11:35.58,35.0,0.0,35.0,0.0,2024-08-22T18:41:01.363,Credit Card,Cross Club Events - Cross Club 3.5-4.0 Final Tryout,2025-01-29T19:00:00,2025-01-29T21:00:00,4901491.0,2024-06-23T17:30:56.787
35107546,Fee,2024-07-28T15:37:17.047,25.0,0.0,25.0,0.0,2024-08-22T18:36:11.487,Credit Card,Cross Club Events - Cross Club 3.5-4.0 Final Tryout,2025-01-29T19:00:00,2025-01-29T21:00:00,4385315.0,2024-03-21T07:39:21.06
35173316,Fee,2024-07-29T15:50:39.99,25.0,0.0,25.0,0.0,2024-08-22T18:30:46.487,Credit Card,Cross Club Events - Cross Club 3.5-4.0 Final Tryout,2025-01-29T19:00:00,2025-01-29T21:00:00,3894944.0,2023-12-21T12:59:10.85
35173933,Fee,2024-07-29T16:00:55.75,25.0,0.0,25.0,0.0,2024-08-22T18:27:50.127,Credit Card,Cross Club Events - Cross Club 3.5-4.0 Final Tryout,2025-01-29T19:00:00,2025-01-29T21:00:00,3635583.0,2023-10-17T05:11:24.61
35174085,Fee,2024-07-29T16:03:14.043,35.0,0.0,35.0,0.0,2024-08-22T18:39:03.327,Credit Card,Cross Club Events - Cross Club 3.5-4.0 Final Tryout,2025-01-29T19:00:00,2025-01-29T21:00:00,4647653.0,2024-05-13T21:16:24.293
35178541,Fee,2024-07-29T17:06:09.15,35.0,0.0,35.0,0.0,2024-08-22T18:45:55.807,Credit Card,Cross Club Events - Cross Club 3.5-4.0 Final Tryout,2025-01-29T19:00:00,2025-01-29T21:00:00,5123179.0,2024-07-28T19:45:08.217
35183370,Fee,2024-07-29T18:04:35.007,25.0,0.0,25.0,0.0,2024-07-29T18:05:32.637,Credit Card,Cross Club Events - Cross Club 3.5-4.0 Final Tryout,2025-01-29T19:00:00,2025-01-29T21:00:00,4371832.0,2024-03-18T20:54:47.23
35183466,Payment,2024-07-29T18:05:32.637,25.0,0.0,-25.0,0.0,2024-07-29T18:05:32.637,Credit Card,Cross Club Events - Cross Club 3.5-4.0 Final Tryout,2025-01-29T19:00:00,2025-01-29T21:00:00,4371832.0,2024-03-18T20:54:47.23
35184870,Payment,2024-07-29T18:25:14.653,35.0,0.0,-35.0,0.0,2024-07-29T18:25:14.653,Credit Card,Cross Club Events - Cross Club 3.5-4.0 Final Tryout,2025-01-29T19:00:00,2025-01-29T21:00:00,4676393.0,2024-05-19T15:49:58.537
36705429,Payment,2024-08-22T18:27:50.127,161.0,0.0,-161.0,0.0,2024-08-22T18:27:50.127,Credit Card,,,,3635583.0,2023-10-17T05:11:24.61
36705694,Payment,2024-08-22T18:30:46.487,163.0,0.0,-163.0,0.0,2024-08-22T18:30:46.487,Credit Card,,,,3894944.0,2023-12-21T12:59:10.85
36706115,Payment,2024-08-22T18:36:11.487,25.0,0.0,-25.0,0.0,2024-08-22T18:36:11.487,Credit Card,Cross Club Events - Cross Club 3.5-4.0 Final Tryout,2025-01-29T19:00:00,2025-01-29T21:00:00,4385315.0,2024-03-21T07:39:21.06
36706321,Payment,2024-08-22T18:39:03.327,106.0,0.0,-106.0,0.0,2024-08-22T18:39:03.327,Credit Card,,,,4647653.0,2024-05-13T21:16:24.293
36706480,Payment,2024-08-22T18:41:01.363,60.0,0.0,-60.0,0.0,2024-08-22T18:41:01.363,Credit Card,,,,4901491.0,2024-06-23T17:30:56.787
36706838,Payment,2024-08-22T18:45:55.807,35.0,0.0,-35.0,0.0,2024-08-22T18:45:55.807,Credit Card,Cross Club Events - Cross Club 3.5-4.0 Final Tryout,2025-01-29T19:00:00,2025-01-29T21:00:00,5123179.0,2024-07-28T19:45:08.217
40928894,Fee,2024-10-27T10:07:55.423,180.0,0.0,180.0,0.0,2024-11-10T23:39:56.73,Credit Card,Big Dill Ladder League - Session 2 Womens 3.5-3.5+ Ladder League,2024-11-18T18:00:00,2024-11-18T20:00:00,3878922.0,2023-12-17T17:53:48.317
40928895,Fee,2024-10-27T10:07:55.503,180.0,0.0,180.0,0.0,2024-11-04T17:45:31.863,Credit Card,Big Dill Ladder League - Session 2 Womens 3.5-3.5+ Ladder League,2024-11-18T18:00:00,2024-11-18T20:00:00,4410795.0,2024-03-25T22:46:24.14
40936812,Fee,2024-10-27T12:18:40.06,180.0,0.0,180.0,0.0,2024-12-16T21:37:55.147,Credit Card,Big Dill Ladder League - Session 2 Womens 3.5-3.5+ Ladder League,2024-11-18T18:00:00,2024-11-18T20:00:00,3714758.0,2023-11-04T13:12:34.623
40940323,Fee,2024-10-27T13:06:21.81,180.0,0.0,180.0,0.0,2024-12-16T21:36:52.897,Credit Card,Big Dill Ladder League - Session 2 Womens 3.5-3.5+ Ladder League,2024-11-18T18:00:00,2024-11-18T20:00:00,3653235.0,2023-10-21T16:11:19.323
40948908,Fee,2024-10-27T15:15:45.547,180.0,0.0,180.0,0.0,2024-12-16T21:38:55.97,Credit Card,Big Dill Ladder League - Session 2 Womens 3.5-3.5+ Ladder League,2024-11-18T18:00:00,2024-11-18T20:00:00,3822950.0,2023-12-01T17:44:24.257
