FeeCategoryName,ItemName,RevenueCategoryName,Amount,AmountWithNoTax,TaxTotal,OrgMemberId,OrgMemberFamilyId,MemberFullName,MembershipName,Start,End,CourtLabels,InstructorNames,PaymentType,TransactionType,TransactionId,TransactionDate,PaidDate,FamilyName,ItemCost
Event Registration,Low Advanced - Open Play Low Advanced 3.75+,Organized Play Fees (6004),27.0,27.0,0.0,5889348,,REDACTED,DROP IN (FREE Membership - $10 When You Come),2024-11-27T19:00:00,2024-11-27T21:00:00,"Court #5, Court #6",,Credit Card,Fee,43371027,2024-11-26T15:23:16.08,2025-07-26T12:01:48.493,REDACTED,
Event Registration,Kids Summer Camp - Summer Kids Clinics - Ages 8-12,Organized Play Fees (6004),160.0,160.0,0.0,5887442,1525383.0,REDACTED,Premium Membership w. Payment Plan,2025-07-07T09:00:00,2025-07-07T14:00:00,,,Credit Card,Fee,50353985,2025-02-05T11:30:07.813,2025-07-08T09:12:51.85,REDACTED,
Event Registration,Kids Summer Camp - Summer Kids Clinics - Ages 8-12,Organized Play Fees (6004),160.0,160.0,0.0,7143363,1870673.0,REDACTED,,2025-07-07T09:00:00,2025-07-07T14:00:00,,,Credit Card,Fee,58808635,2025-04-28T19:42:54.723,2025-07-08T12:57:11.683,REDACTED,
Event Registration,Kids Summer Camp - Summer Kids Clinics - Ages 8-12,Organized Play Fees (6004),160.0,160.0,0.0,7143369,1870673.0,REDACTED,,2025-07-07T09:00:00,2025-07-07T14:00:00,,,Credit Card,Fee,58808644,2025-04-28T19:42:59.923,2025-07-08T12:57:52.147,REDACTED,
Event Registration,Cross Club Events - (50+ - 4.0+) Cross Club League Match - The Pickle Jar,Court Fees (6002),28.0,28.0,0.0,4223194,,REDACTED,,2025-06-01T14:00:00,2025-06-01T17:00:00,"Court #1, Court #2, Court #3, Court #4",,Credit Card,Fee,61755623,2025-06-01T15:48:32.26,2025-07-01T13:58:55.853,REDACTED,
Reservation,Reserve Court: Singles,Court Fees (6002),30.0,30.0,0.0,5571884,,REDACTED,DROP IN (FREE Membership - $10 When You Come),2025-06-12T18:30:00,2025-06-12T19:30:00,"Court #1, Court #2",,Credit Card,Fee,62702829,2025-06-12T18:39:34.973,2025-07-26T20:15:03.523,REDACTED,
Event Registration,Cross Club Events - (4.0-4.49) Cross Club League Play Offs - The Pickle Jar,Court Fees (6002),28.0,28.0,0.0,4778795,,REDACTED,(MONTHLY) Bread & Butter - ($25 + Tax),2025-06-12T19:30:00,2025-06-12T22:30:00,"Court #1, Court #2, Court #3, Court #4",,Credit Card,Fee,62707082,2025-06-12T19:23:49.523,2025-07-01T13:47:02.573,REDACTED,
Event Registration,All Levels w/ Challenge Court - ALL LEVELS Open Play - $20 Flat - Free with Basic & Premium Memberships,Organized Play Fees (6004),20.0,20.0,0.0,5910245,,REDACTED,DROP IN (FREE Membership - $10 When You Come),2025-06-14T15:00:00,2025-06-14T18:00:00,"Court #5, Court #6, Court #7, Court #8",,Credit Card,Fee,62822950,2025-06-14T09:17:48.173,2025-07-26T12:01:52.047,REDACTED,
Reservation,Reserve Court: Singles,Court Fees (6002),20.0,20.0,0.0,7568242,,REDACTED,Dill-uxe ($378 + Tax Includes 1 Guest Per Month),2025-06-14T18:30:00,2025-06-14T19:30:00,Court #1,,Credit Card,Fee,62849542,2025-06-14T14:18:46.51,2025-07-01T13:45:05.777,REDACTED,
Reservation,Reserve Court: Doubles,Court Fees (6002),20.0,20.0,0.0,4215141,,REDACTED,DROP IN (FREE Membership - $10 When You Come),2025-06-21T12:30:00,2025-06-21T14:30:00,"Court #1, Court #2",,Credit Card,Fee,63067299,2025-06-17T09:24:46.39,2025-07-27T17:40:42.103,REDACTED,
