FeeCategoryName,ItemName,RevenueCategoryName,Amount,AmountWithNoTax,TaxTotal,OrgMemberId,OrgMemberFamilyId,MemberFullName,MembershipName,Start,End,CourtLabels,InstructorNames,PaymentType,TransactionType,TransactionId,TransactionDate,PaidDate,FamilyName,ItemCost
Membership Fee,Membership Dues,Membership Sales (6001),1.66,1.56,1.65,3836778,,REDACTED,DROP IN (FREE Membership - $10 When You Come),2024-02-18T00:00:00,2024-03-17T02:00:00,,,Account Credit,Fee,26377871,2024-02-29T21:33:52.533,2025-06-07T10:52:47.073,REDACTED,
Reservation,Reserve Court: Doubles,Court Fees (6002),20.0,20.0,0.0,4250700,,REDACTED,DROP IN (FREE Membership - $10 When You Come),2024-04-07T17:00:00,2024-04-07T18:00:00,Court #7,,Credit Card,Fee,28784682,2024-04-06T16:17:31.073,2025-06-20T13:12:41.103,REDACTED,
Reservation,Reserve Court: Singles,Court Fees (6002),20.0,20.0,0.0,4759959,,REDACTED,DROP IN (FREE Membership - $10 When You Come),2024-12-15T14:00:00,2024-12-15T16:00:00,Court #2,,Credit Card,Fee,44991585,2024-12-15T14:03:20.617,2025-06-19T17:57:50.913,REDACTED,
Event Registration, High Intermediate - Ladies Night High Intermediate,Organized Play Fees (6004),17.0,17.0,0.0,3669169,1921235.0,REDACTED,DROP IN (FREE Membership - $10 When You Come),2025-01-08T18:00:00,2025-01-08T20:00:00,"Court #1, Court #2, Court #3",,Credit Card,Fee,45861962,2024-12-26T07:17:06.22,2025-06-01T11:19:45.143,REDACTED,
Event Registration, High Intermediate - Open Play High Intermediate 3.5-3.75,Organized Play Fees (6004),17.0,17.0,0.0,3669169,1921235.0,REDACTED,DROP IN (FREE Membership - $10 When You Come),2025-01-04T09:00:00,2025-01-04T11:00:00,"Court #2, Court #3, Court #4, Court #5",,Credit Card,Fee,46560028,2025-01-01T13:38:14.09,2025-06-01T11:19:45.143,REDACTED,
Reservation,Reserve Court: Singles,Court Fees (6002),30.0,30.0,0.0,6068228,,REDACTED,DROP IN (FREE Membership - $10 When You Come),2025-01-04T15:00:00,2025-01-04T17:00:00,Court #2,,Credit Card,Fee,46921836,2025-01-04T15:04:57.63,2025-06-03T13:29:38.413,REDACTED,
Event Registration,All Levels w/ Challenge Court - All You Can Play $20 Flat - Free with Basic & Premium Memberships,Organized Play Fees (6004),20.0,20.0,0.0,6256162,,REDACTED,DROP IN (FREE Membership - $10 When You Come),2025-01-11T18:00:00,2025-01-11T21:00:00,"Court #1, Court #2, Court #3, Court #4, Court #5, Court #6, Court #7, Court #8",,Credit Card,Fee,47674317,2025-01-11T17:15:18.85,2025-06-01T11:21:49.88,REDACTED,
Reservation,Reserve Court: Doubles,Court Fees (6002),20.0,20.0,0.0,4313632,996210.0,REDACTED,Gympass- New Member,2025-05-01T09:00:00,2025-05-01T11:00:00,Court #3,,Credit Card,Fee,59047130,2025-05-01T09:15:59.243,2025-06-19T17:47:38.76,REDACTED,
Reservation,Reserve Court: Doubles,Court Fees (6002),8.0,8.0,0.0,4313632,996210.0,REDACTED,Gympass- New Member,2025-05-06T09:00:00,2025-05-06T11:00:00,Court #1,,Credit Card,Fee,59497771,2025-05-06T08:47:35.827,2025-06-19T17:47:38.76,REDACTED,
Event Registration,Low Advanced - 3.75+ Open Play,Organized Play Fees (6004),17.0,17.0,0.0,6029681,1623329.0,REDACTED,Bread & Butter Annual ($270 + Tax),2025-05-19T20:00:00,2025-05-19T22:00:00,"Court #5, Court #6",,Credit Card,Fee,60220021,2025-05-15T00:19:23.013,2025-06-01T11:21:28.927,REDACTED,
