TransactionId,TransactionType,TransactionDate,Subtotal,TaxTotal,Total,UnpaidAmount,PainOn,PaymentType,Category,ReservationStart,ReservationEnd,OrganizationMemberId,AccountCreationDate
47344293,Payment,2025-01-08T14:32:48.64,5.0,0.0,-5.0,0.0,2025-01-08T14:32:48.64,Account Credit, High Intermediate - Open Play High Intermediate 3.5+,2024-12-19T19:00:00,2024-12-19T21:00:00,3711588.0,2023-11-04T12:24:46.437
47344316,Payment,2025-01-08T14:33:03.477,5.0,0.0,-5.0,0.0,2025-01-08T14:33:03.477,Account Credit,High Intermediate AM - Open Play High Intermediate 3.5-3.75,2024-12-27T11:00:00,2024-12-27T13:00:00,3711588.0,2023-11-04T12:24:46.437
47344339,Payment,2025-01-08T14:33:14.46,5.0,0.0,-5.0,0.0,2025-01-08T14:33:14.46,Account Credit,High Intermediate AM - Open Play High Intermediate 3.5-3.75,2024-12-27T11:00:00,2024-12-27T13:00:00,3711588.0,2023-11-04T12:24:46.437
47344352,Payment,2025-01-08T14:33:25.587,5.0,0.0,-5.0,0.0,2025-01-08T14:33:25.587,Account Credit,Intermediate - Open Play Intermediate 3.0-3.5,2024-12-31T09:00:00,2024-12-31T11:30:00,3711588.0,2023-11-04T12:24:46.437
47344369,Payment,2025-01-08T14:33:36.737,5.0,0.0,-5.0,0.0,2025-01-08T14:33:36.737,Account Credit,High Intermediate AM - Open Play High Intermediate 3.5-3.75,2025-01-03T11:00:00,2025-01-03T13:00:00,3711588.0,2023-11-04T12:24:46.437
47344396,Payment,2025-01-08T14:33:46.427,5.0,0.0,-5.0,0.0,2025-01-08T14:33:46.427,Account Credit,Intermediate - Open Play Intermediate 3.0-3.5,2025-01-03T11:00:00,2025-01-03T13:00:00,3711588.0,2023-11-04T12:24:46.437
47344421,Payment,2025-01-08T14:33:59.207,5.0,0.0,-5.0,0.0,2025-01-08T14:33:59.207,Account Credit,High Intermediate AM - Open Play High Intermediate 3.5-3.75,2025-01-06T11:00:00,2025-01-06T13:00:00,3711588.0,2023-11-04T12:24:46.437
47344437,Payment,2025-01-08T14:34:12.907,5.0,0.0,-5.0,0.0,2025-01-08T14:34:12.907,Account Credit,High Intermediate AM - Open Play High Intermediate 3.5-3.75,2025-01-06T11:00:00,2025-01-06T13:00:00,3711588.0,2023-11-04T12:24:46.437
47344463,Payment,2025-01-08T14:34:23.653,5.0,0.0,-5.0,0.0,2025-01-08T14:34:23.653,Account Credit,Intermediate - Open Play Intermediate 3.0-3.5,2025-01-07T13:00:00,2025-01-07T15:00:00,3711588.0,2023-11-04T12:24:46.437
47346582,Fee,2025-01-08T14:53:12.733,50.0,0.0,50.0,0.0,2025-01-20T15:20:25.733,Credit Card,David L Coached Clinic - Guided Drilling Series (3.75-4.0),2025-01-15T20:00:00,2025-01-15T22:00:00,6947794.0,2023-11-22T13:37:42.107
47348723,Fee,2025-01-08T15:10:28.023,17.0,0.0,17.0,0.0,2025-01-08T19:25:03.813,Credit Card,All Level Open Play - Weekday - All Levels Open Play,2025-01-09T11:00:00,2025-01-09T13:00:00,3633419.0,2023-10-16T14:05:34.313
47349359,Payment,2025-01-08T15:15:28.577,30.0,0.0,-30.0,0.0,2025-01-08T15:15:28.577,Credit Card,Reserve Court: Doubles,2024-12-22T10:00:00,2024-12-22T12:00:00,5905459.0,2024-11-29T09:26:32.74
47349380,Payment,2025-01-08T15:15:42.227,30.0,0.0,-30.0,0.0,2025-01-08T15:15:42.227,Credit Card,Reserve Court: Doubles,2025-01-05T10:00:00,2025-01-05T12:00:00,5905459.0,2024-11-29T09:26:32.74
47349764,Fee,2025-01-08T15:19:23.043,17.0,0.0,17.0,0.0,2025-02-09T08:57:44.983,Credit Card,All Level Open Play - Weekday - All Levels Open Play,2025-01-14T09:00:00,2025-01-14T11:00:00,3829818.0,2023-12-03T14:37:01.68
