FeeCategoryName,ItemName,RevenueCategoryName,Amount,AmountWithNoTax,TaxTotal,OrgMemberId,OrgMemberFamilyId,MembershipName,Start,End,CourtLabels,PaymentType,TransactionType,TransactionId,TransactionDate,PaidDate,ItemCost
Reservation,Reserve Court: Doubles,Court Fees (6002),23.33,23.33,0.0,4617076,,DROP IN (FREE Membership - $10 When You Come),2024-06-04T12:15:00,2024-06-04T14:00:00,Court #8,Credit Card,Fee,32085899,2024-06-04T12:35:56.04,2025-03-30T18:35:18.29,
Event Registration,All Level Open Play - Weekday - All You Can Play - All Levels Open Play,Court Fees (6002),17.0,17.0,0.0,4313185,,Sweet & Sour,2024-10-30T15:00:00,2024-10-30T17:00:00,"Court #2, Court #3, Court #4",Credit Card,Fee,41173688,2024-10-30T14:19:39.4,2025-03-12T11:17:07.307,
Reservation,Reserve Court: Singles,Court Fees (6002),60.0,60.0,0.0,3662851,,The Founders,2024-12-15T14:00:00,2024-12-15T16:00:00,Court #2,Credit Card,Fee,44451018,2024-12-09T10:56:38.92,2025-03-22T15:15:52.51,
Reservation,Reserve Court: Singles,Court Fees (6002),20.0,20.0,0.0,3663015,,The Founders,2024-12-15T14:00:00,2024-12-15T16:00:00,Court #2,Credit Card,Fee,44451019,2024-12-09T10:56:39.03,2025-03-29T14:23:04.85,
Reservation,Reserve Court: Singles,Court Fees (6002),20.0,20.0,0.0,6097939,,DROP IN (FREE Membership - $10 When You Come),2024-12-26T16:00:00,2024-12-26T17:00:00,Court #1,Credit Card,Fee,45924993,2024-12-26T16:22:34.04,2025-03-03T15:28:54.2,
Reservation,Reserve Court: Doubles,Court Fees (6002),30.0,30.0,0.0,5523120,,DROP IN (FREE Membership - $10 When You Come),2024-12-28T15:30:00,2024-12-28T17:30:00,Court #1,Credit Card,Fee,46144354,2024-12-28T14:24:00.33,2025-03-04T12:58:39.15,
Reservation,Reserve Court: Doubles,Court Fees (6002),10.0,10.0,0.0,5523120,,DROP IN (FREE Membership - $10 When You Come),2024-12-30T17:00:00,2024-12-30T18:00:00,Court #3,Credit Card,Fee,46347811,2024-12-30T14:50:58.623,2025-03-04T12:58:39.15,
Event Registration,All Levels w/ Challenge Court - All You Can Play $15 Flat - Free with Basic and Premium Memberships,Organized Play Fees (6004),15.0,15.0,0.0,6157544,,DROP IN (FREE Membership - $10 When You Come),2025-01-01T16:00:00,2025-01-01T18:00:00,"Court #4, Court #5, Court #6, Court #7, Court #8",Credit Card,Fee,46562919,2025-01-01T14:03:00.213,2025-03-03T09:27:48.143,
Reservation,Reserve Court: Singles,Court Fees (6002),20.0,20.0,0.0,5020070,,DROP IN (FREE Membership - $10 When You Come),2025-01-08T10:00:00,2025-01-08T12:00:00,Court #1,Credit Card,Fee,47243402,2025-01-07T15:34:54.01,2025-03-08T13:16:07.28,
Reservation,Reserve Court: Doubles,Court Fees (6002),20.0,20.0,0.0,6073706,,Gympass- New Member,2025-01-08T20:00:00,2025-01-08T22:00:00,Court #6,Credit Card,Fee,47380647,2025-01-08T19:55:29.953,2025-03-29T14:25:20.467,
Reservation,Reserve Court: Singles,Court Fees (6002),20.0,20.0,0.0,5876217,1983336.0,DROP IN (FREE Membership - $10 When You Come),2025-01-11T15:30:00,2025-01-11T17:30:00,Court #1,Credit Card,Fee,47547647,2025-01-10T13:38:09.94,2025-03-01T17:47:03.913,
Reservation,Reserve Court: Doubles,Court Fees (6002),10.0,10.0,0.0,5523120,,DROP IN (FREE Membership - $10 When You Come),2025-01-12T08:00:00,2025-01-12T09:00:00,Court #4,Credit Card,Fee,47683175,2025-01-11T18:38:33.297,2025-03-04T12:58:39.15,
Reservation,Reserve Court: Doubles,Court Fees (6002),10.0,10.0,0.0,5523157,,DROP IN (FREE Membership - $10 When You Come),2025-01-12T08:00:00,2025-01-12T09:00:00,Court #4,Credit Card,Fee,47683176,2025-01-11T18:38:33.323,2025-03-03T10:42:07.533,
Reservation,Reserve Court: Doubles,Court Fees (6002),40.0,40.0,0.0,5523120,,DROP IN (FREE Membership - $10 When You Come),2025-01-12T09:00:00,2025-01-12T10:00:00,Court #4,Credit Card,Fee,47683246,2025-01-11T18:39:27.253,2025-03-04T12:58:39.15,
Reservation,Reserve Court: Doubles,Court Fees (6002),20.0,20.0,0.0,6141309,,DROP IN (FREE Membership - $10 When You Come),2025-01-12T09:00:00,2025-01-12T10:00:00,Court #4,Credit Card,Fee,47683249,2025-01-11T18:39:27.44,2025-03-04T12:57:50.84,
Event Registration,Low Advanced - Open Play Low Advanced 3.75+,Organized Play Fees (6004),17.0,17.0,0.0,6073706,,Gympass- New Member,2025-01-13T19:00:00,2025-01-13T21:00:00,"Court #7, Court #8",Credit Card,Fee,47844601,2025-01-13T12:35:29.59,2025-03-29T14:25:20.467,
Lesson,Pro + 3,Lesson Fees (6003),48.5,48.5,0.0,5020070,,DROP IN (FREE Membership - $10 When You Come),2025-01-17T11:00:00,2025-01-17T12:30:00,Court #1,Credit Card,Fee,48200240,2025-01-16T16:07:10.847,2025-03-08T13:16:07.28,
Event Registration,All Levels w/ Challenge Court - All You Can Play $20 Flat - Free with Basic and Premium Memberships,Organized Play Fees (6004),20.0,20.0,0.0,6304194,,DROP IN (FREE Membership - $10 When You Come),2025-01-18T21:00:00,2025-01-18T23:59:00,"Court #1, Court #2, Court #3, Court #4, Court #5, Court #6, Court #7, Court #8",Credit Card,Fee,48445753,2025-01-18T20:55:39.203,2025-03-09T23:11:19.557,
