TransactionId,TransactionType,TransactionDate,Subtotal,TaxTotal,Total,UnpaidAmount,PainOn,PaymentType,Category,ReservationStart,ReservationEnd,OrganizationMemberId,AccountCreationDate
49876071,Fee,2025-02-01T00:31:25.59,300.0,19.88,319.88,0.0,2025-02-14T08:06:40.353,Credit Card,Recurring Fee - Basic Membership Monthly Payment Plan,2025-02-06T00:00:00,2025-03-05T00:00:00,3633733.0,2023-10-16T15:33:45.097
49876072,Fee,2025-02-01T00:31:30.507,300.0,19.88,319.88,0.0,2025-02-01T08:23:37.093,Credit Card,Recurring Fee - Basic Membership Monthly Payment Plan,2025-02-06T00:00:00,2025-03-05T00:00:00,3633987.0,2023-10-16T16:40:39.677
49876074,Fee,2025-02-01T00:31:34.587,600.0,39.75,639.75,0.0,2025-02-14T08:06:56.34,Credit Card,Recurring Fee - Premium Membership Monthly Payment Plan,2025-02-06T00:00:00,2025-03-05T00:00:00,3652818.0,2023-10-21T17:57:05.293
49876076,Fee,2025-02-01T00:31:38.503,300.0,19.88,319.88,0.0,2025-02-18T21:34:32.28,Credit Card,Recurring Fee - Basic Membership Monthly Payment Plan,2025-02-06T00:00:00,2025-03-05T00:00:00,3711024.0,2023-11-04T10:24:08.13
49876079,Fee,2025-02-01T00:31:41.983,600.0,39.75,639.75,0.0,,,Recurring Fee - Premium Membership Monthly Payment Plan,2025-02-06T00:00:00,2025-03-05T00:00:00,4130360.0,2024-01-31T21:18:42.227
49876082,Fee,2025-02-01T00:31:45.433,300.0,19.88,319.88,0.0,2025-02-14T08:09:25,Credit Card,Recurring Fee - Basic Membership Monthly Payment Plan,2025-02-06T00:00:00,2025-03-05T00:00:00,4155765.0,2024-02-05T20:20:41.573
49876083,Fee,2025-02-01T00:31:49.447,600.0,39.75,639.75,0.0,2025-02-14T08:09:37.803,Credit Card,Recurring Fee - Premium Membership Monthly Payment Plan,2025-02-06T00:00:00,2025-03-05T00:00:00,4210635.0,2024-02-16T14:29:14.233
49876084,Fee,2025-02-01T00:31:53.073,300.0,19.88,319.88,0.0,2025-02-14T08:09:56.227,Credit Card,Recurring Fee - Basic Membership Monthly Payment Plan,2025-02-06T00:00:00,2025-03-05T00:00:00,4249747.0,2024-02-23T15:59:13.85
49876087,Fee,2025-02-01T00:31:57.05,600.0,39.75,639.75,0.0,2025-02-14T08:10:02.597,Credit Card,Recurring Fee - Premium Membership Monthly Payment Plan,2025-02-06T00:00:00,2025-03-05T00:00:00,4280686.0,2024-02-29T17:02:13.407
49876089,Fee,2025-02-01T00:32:01.333,300.0,19.88,319.88,0.0,2025-02-14T08:10:34.68,Account Credit,Recurring Fee - Basic Membership Monthly Payment Plan,2025-02-06T00:00:00,2025-03-05T00:00:00,4324863.0,2024-03-09T03:08:00.937
50613640,Refund - CC,2025-02-07T19:26:54.25,15.0,0.0,-15.0,0.0,2025-02-07T19:26:54.25,Credit Card,,,,4322952.0,2024-03-08T18:37:10.407
50613991,Payment,2025-02-07T19:29:53.753,20.0,0.0,-20.0,0.0,2025-02-07T19:29:53.753,Credit Card,Reserve Court: Doubles,2025-02-07T15:30:00,2025-02-07T17:30:00,4173946.0,2024-02-08T08:07:52.297
50614260,Fee,2025-02-07T19:33:10.833,20.0,0.0,20.0,0.0,2025-02-08T20:35:14.373,Credit Card,All Levels w/ Challenge Court - ALL LEVELS Open Play - $20 Flat - Free with Basic & Premium Memberships,2025-02-08T18:00:00,2025-02-08T21:00:00,6388023.0,2025-01-25T11:58:37.503
50614562,Payment,2025-02-07T19:36:05.48,20.0,0.0,-20.0,0.0,2025-02-07T19:36:05.48,Credit Card,Reserve Court: Doubles,2025-02-07T15:30:00,2025-02-07T17:30:00,3733679.0,2023-11-08T16:13:26.97
50615976,Fee,2025-02-07T19:51:56.043,2.5,0.0,2.5,0.0,2025-02-14T08:07:09.653,Credit Card,Point of Sale,2025-02-07T19:51:56.043,,3657082.0,2023-10-22T20:00:02.037
50617530,Fee,2025-02-07T20:06:50.72,15.0,0.0,15.0,0.0,2025-02-08T13:31:37.86,Credit Card,All Levels w/ Challenge Court - ALL LEVELS Open Play - $15 Flat - Free with Basic & Premium Memberships,2025-02-08T13:00:00,2025-02-08T15:00:00,4391866.0,2024-03-22T15:09:58.683
50619833,Payment,2025-02-07T20:34:30.927,15.0,0.0,-15.0,0.0,2025-02-07T20:34:30.927,Credit Card,All Levels w/ Challenge Court - All You Can Play $15 Flat - Free with Basic and Premium Memberships,2025-02-07T19:00:00,2025-02-07T21:00:00,6026925.0,2024-12-16T21:12:20.81
50620108,Payment,2025-02-07T20:37:55.487,20.0,0.0,-20.0,0.0,2025-02-07T20:37:55.487,Credit Card,All Levels w/ Challenge Court - All You Can Play $20 Flat - Free with Basic and Premium Memberships,2025-02-07T21:00:00,2025-02-07T23:59:00,4223194.0,2024-02-18T15:08:47.873
50620409,Payment,2025-02-07T20:41:50.62,20.0,0.0,-20.0,0.0,2025-02-07T20:41:50.62,Credit Card,All Levels w/ Challenge Court - All You Can Play $20 Flat - Free with Basic and Premium Memberships,2025-02-07T21:00:00,2025-02-07T23:59:00,6126059.0,2024-12-28T21:55:02.133
50620616,Payment,2025-02-07T20:44:53.76,20.0,0.0,-20.0,0.0,2025-02-07T20:44:53.76,Credit Card,All Levels w/ Challenge Court - All You Can Play $20 Flat - Free with Basic and Premium Memberships,2025-02-07T21:00:00,2025-02-07T23:59:00,6015543.0,2024-12-15T14:13:44.413
50620903,Payment,2025-02-07T20:48:21.653,20.0,0.0,-20.0,0.0,2025-02-07T20:48:21.653,Credit Card,All Levels w/ Challenge Court - All You Can Play $20 Flat - Free with Basic and Premium Memberships,2025-02-07T21:00:00,2025-02-07T23:59:00,5863230.0,2024-11-22T15:42:05.107
50621157,Payment,2025-02-07T20:51:28.357,20.0,0.0,-20.0,0.0,2025-02-07T20:51:28.357,Credit Card,All Levels w/ Challenge Court - All You Can Play $20 Flat - Free with Basic and Premium Memberships,2025-02-07T21:00:00,2025-02-07T23:59:00,6488137.0,2025-02-05T17:12:48.293
